,title,rating,review
0,Black Panther: Wakanda Forever,6," Not what I expected...:I am conflicted with this film and with Marvel.Let's review the good first. There is a heartfelt tribute to T'Challa and obviously to the actor who played him. The emotions shown feel real and manage to move. The performances are good in this regard. Angela Bassett stands out above the rest.I'm not one to oppose the replacement of Atlantis by Talokan, as this gives another excellent excuse to show some content that derives from universal culture in gigantic products like the MCU movies. Namor is an excellent addition to the ranks of Marvel superheroes immediately showing how powerful he is and what he is capable of.The action sequences are entertaining, as Marvel has already accustomed us.The wardrobe is also something to value in this film. There is a great effort and meaning behind each of the suits, which successfully try to mix the different cultures with the new times full of technology. This makes an excellent contribution to character design.Now what I didn't like about the movie. The entire story feels too light and if you think about it, pretty ridiculous. Namor's motivations don't match his plans or his actions throughout the film. Marvel Studios again falls flat when writing and developing their villains. It all feels like a mere excuse for the characters to clash. There is nothing really of weight in the story, except for the death of T'Challa, which is also not well used, abusing the drama whenever they can.I liked Riri Williams' introduction, but not Ironheart's introduction. The story devoured her as a secondary character and was relegated to the background when in fact the beginning of the film gives her much more importance.The pacing of the movie is inconsistent. It's pretty monotonous until the action scenes, which are good, but short. Sometimes, there is too much information happening too fast without giving the opportunity to fully appreciate each sequence and each character involved.Finally, the effects are good, as expected, but something is wrong with the composition of the cities. Both Wakanda and Talokan have a contrast and color problem that prevents them from being fully appreciated.The final battle scenario also seems pretty bad to me.Overall, the movie is entertaining if you just want to have fun with fights and visuals, but I think it's about time Marvel got serious about their movies and realized that adults are also consuming superhero movies."
1,Black Panther: Wakanda Forever,8," I liked it a lot:Phase 4's MCU comes to a close with Black Panther: Wakanda Forever. It's been a truly inconsistent run of films. There was the good (Shang-Chi, Spider-Man, some of Dr. Strange 2), the eh (other parts of Dr. Strange 2, Black Widow and Eternals), and the ugly (Thor 4, which is easily the worst MCU movie so far). If this movie had been bad, it might have been enough to make me bail on keeping up with the MCU's movies, and truth be told, I've already bailed on the Disney+ series', because WandaVision, Falcon & Winter Soldier, and Loki really didn't do it for me.If you're expecting Black Panther 2 to wrap up Phase 4, you might be disappointed. But then again, there hasn't been a consistent narrative to the last two years of Marvel releases, so there's really nothing to conclude, overall. Importantly, it's just a very good movie, and that's enough to ensure it ends Phase 4 on a high. It's not a total slam-dunk, but there's a great deal about Black Panther 2 that's extremely effective, and enough great stuff that I feel the overall movie is a strong one.I think the pacing is its greatest strength. I really didn't feel the 2 hour 40 minute runtime. The opening half-hour doesn't flow the best, but there was a need to adjust after Chadwick Boseman's passing meant T'Challa died, too. Once the movie establishes this and sets up its main plot, it's pretty smooth-sailing, and unlike many Marvel movies, it saves its most emotional moments and best action scenes for its excellent final hour.It's a very emotional movie, and the way it pays respect to Boseman and T'Challa is essentially perfect. With good action, a solid story, a very good new antagonist (Namor and the whole underworld were great), and fantastic music (maybe the best Marvel score so far?), this was a very good MCU movie, and gives me a little more hope for the franchise going forward."
2,Black Panther: Wakanda Forever,6," I Yield:First of all, RIP to Chadwick Boseman. They really did do a good tribute to him in this movie through various devices. Performances when reflecting his death felt real and convincing, probably because there was little ""acting"" involved. Losing a franchise star is really a tough blow. While I felt Boseman's absence, I don't think not all of the movie's downfalls are linked to his absence.Biggest head-scratching moments were for me was poor writing mainly from some of the tactical choices. The whole conflict stems from the existence of Riri (soon to be Ironheart), who built a Vibranium detector for a school project. Apparently, she's the only one in the world who can do that. Aside from that ridiculous premise, I thought Ironheart's introduction to the MCU was not bad (I still think the suit is ugly). She was likable enough and I think she has potential. I do worry about the overlap between her and Shuri because while they do have good chemistry, they are such similar characters. Anyways, this detector triggers a cascade of events where Shuri and Riri are taken to Talokan. First of all, getting rid of Riri will not do anything because the technology is no longer in her hands alone. Also, Wakandans have very little reason to protect her other than the fact she's a great scientist. I was also baffled that key hostages like Shuri and Riri could escape Taloka with the help of one person DURING an ongoing negotiation. A rookie foreign affairs mistake. It was not even a hostage situation. It was closer to an aggressive invitation. This was literally the cause of the all-out war and I thought it was just poorly written how they started that conflict. And at that point, the entire war felt so meaningless and stakeless because it wasn't clear why they were fighting. It still isn't clear why Talokans wanted to go to war with Wakanda. So whatever came after that became difficult to love. Ramonda's death was also quite preventable in my opinion. The queen with no protection and left to drown. Like why does Riri matter so much to Ramonda that she sacrificed herself to save her? It almost felt like an artificial plot device to pump up Ironheart's value as a a character. And Shuri does not blame Riri once or show any animosity toward her even though she was an indirect cause of her mother's death? Seemed a little strange unless she didn't know what happened.There were positive things too. I thought Taloka's story was interesting and was well introduced. Loved Namor as a character and his action scenes were powerful enough. The performances were solid across the board, especially Ramonda and Namor shined. I thought some of the battle sequences were interesting despite being imperfect (really bad CG moments here and there). Overall, it was rather inconsistent with really cool spear fighting scenes and just generic scenes. The whales really did surprise me. I thought the locations were well chosen. I really like their portrayal of Wakanda and Taloka in general so that's a plus. I enjoyed how they incorporated the idea of the oppressed (the Mayans) versus oppressor like they did in Black Panther 1. But again, this should only unite Taloka and Wakanda together rather than fight against each other.I'd also like to comment on Shuri. She has now become the official franchise star with the death of Ramonda and T'challa. My overall impression that while she has the potential to be the franchise but it's a tough transition. She's been known as the geek scientist sister but now she's the black panther and the sole protector of Wakanda. That's a big jump for both the audience and the character. That type of transition, fueled mostly by grief and revenge, should usually take multiple movies or a series to hash out but that was not an option for the production team. So while I still am not used to the transition, I think they were handled as well as they could be. Her characterization was complex and meaningful enough. A far better experience than the most recent MCU movie.In the end, phase 4 has been a let-down for most fans with a notable exception. I was disappointed that this movie was not able to be part of that exception."
3,Black Panther: Wakanda Forever,9," A Fantastic  Emotional  and Mature Marvel Film:Black Panther was a very welcome addition to the Marvel Cinematic Universe back in 2018 and I was really looking forward to seeing the progression of that character. Obviously, with the tragic passing of Chadwick Boseman, that just wasn't possible anymore. I figured they would recast the character and continue forward, but they made the tough decision to write the death of the character into the film as well. For that reason, I was worried and relieved all at the same time. It seemed like an impossible task to make a sequel to such a beloved film, but not have the core character there the entire time. Well, after seeing Black Panther: Wakanda Forever, I can confidently say that they handled it as well as they possibly could have. I thought this film was emotional and fantastic, and here's why.Picking up six years after the events of Black Panther (in accordance to the events of Avengers: Infinity War and Avengers: Endgame), this film focuses heavily on the loss of T'Challa and how the country can move forward without their leader. With the emergence of Namor and the underwater city of Talokan threatening all of Wakanda, the remaining characters must band together and protect their country. Shuri (Letitia Wright) is easily the one with the most screentime here and the burden of carrying this franchise is on her shoulders the whole time. This must have been a daunting task, but she pulled it off. Her character, along with her mother, portrayed incredibly well once again by Angela Basset, are the beating hearts of this film. The emotional aspect of this film got me on a few occasions.Some people may complain about the fact that the death of Chadwick Boseman is basically the jumping-off point for this story to even happen, but I found that it was very tastefully done. With the addition of other characters that will have a future in the Marvel Cinematic Universe, this film was filled to the brim with story. Where I might have my only complaint though, is the fact that this feels like a big budget prelude to what will come next. It's a fantastically made film by director Ryan Coogler and I loved watching every minute of this one, but I have to admit that it did feel like more of a long eulogy for the passing of Boseman.With all of that said though, I'm only complaining about that because I'm reviewing it and criticizing it. That complaint isn't something I will regularly say about this film. They take the time to make a great film on top of that, so it really worked for me overall. I can't wait to see where certain storylines continue later and the fact that I'm excited about that, all while this film is satisfying on its own, is nothing short of great. I wept, I was entertained, and I was engaged in the story at hand, so what else could I really have asked for from this film? Also, the final scene that takes place during the credits is easily one of my favourite post-credit scenes in the Marvel Cinematic Universe. It was very well handled. Now playing in theatres, I absolutely recommend checking out Black Panther: Wakanda Forever."
4,Black Panther: Wakanda Forever,8," Pays an appropriately sombre tribute to its recently deceased lead actor by showing how things can still move forward in the wake of his absence:""Black Panther: Wakanda Forever"" is the sequel to 2018's ""Black Panther"" and the 30th film in the Marvel Cinematic Universe. Directed and co-written by Ryan Coogler (""Fruitvale Station"", ""Creed""), it pays an appropriately sombre tribute to its recently deceased lead actor by showing how things can still move forward in the wake of his absence.One year after the untimely death of King T'Challa (Chadwick Boseman), the African kingdom of Wakanda is still in mourning as they struggle without their beloved monarch to lead them. T'Challa's younger sister, Princess Shuri (Letitia Wright), feels the immense pressure to take over as ruler but believes she cannot handle such a huge responsibility all by herself. Not long after, the inhabitants of the underwater civilisation of Talokan, led by King Namor (Tenoch Huerta), emerge to wage a war against the surface world. With limited time remaining, the citizens of Wakanda must quickly overcome their grief to put a stop to the Talokan threat before everything is destroyed.After the unfortunate passing of ""Black Panther"" actor Chadwick Boseman in 2020 due to cancer, the MCU was left with a complicated dilemma - should the sequel recast the lead role with a different actor or should they re-write an entirely new story without him? Either of these options would have been a risky move since audiences have become so familiar with Boseman's portrayal of King T'Challa (a.k.a the Black Panther) that it would be near impossible to accept anyone else in the role. It was soon revealed that out of respect for both Boseman and the fans that the latter option was chosen, with the character's in-world demise intended to mirror the actor's real-life death. Now with the release of ""Black Panther: Wakanda Forever"", we see how all of this has managed to play out, in a follow-up that makes good use of its supporting cast while also remaining respectful to the foundations that have already been laid down.Anybody who saw the 2018 film will remember it has already been established that Wakanda is a place full of interesting characters that have helped this kingdom thrive for so long in seclusion. Because of this, it is believable that its citizens can continue to function without a King due to their personal code of discipline. However, due to their overwhelming admiration for King T'Challa, the Wakandans still feel a sense of emptiness with him no longer being around to lead them and as a result, they are living directionless lives. This is all conveyed to us primarily through the characters that knew T'Challa best and the audience gains a solid understanding of the grief they are each experiencing.I think the film does a decent job of exploring the concept of losing someone you deeply care about, whether it is a close family member or someone you admired from afar. In particular, we get a good look at how Shuri, the next in line to the throne, just cannot bring herself to take her brother's place as the rightful ruler of Wakanda. Despite her lingering heartache, Shuri, along with the rest of Wakanda's de facto leaders, must find a way to set aside her sadness to confront the looming annihilation by advancing enemy forces. Most of the film shows how not only Shuri, but also Okoye (Danai Gurira) and Ramonda (Angela Bassett) all need to work together in order to prevent a major catastrophe from happening. I interpret this plot element as a metaphor for depression as a whole, since rising above intense emotional pain often requires the help of others. Because of that, this is a nice way of telling the audience that no matter how hard things may seem, there will always be others to aid them through their own personal difficulties.Due to the prevalent themes of loss and despair, this is the most melancholic film in the entire MCU library, even more so than the beginning of ""Avengers: Endgame"". Naturally this is a striking departure from the MCU we are all familiar with, which is usually light-hearted and fun for practically everybody. As a result, there are very few moments of comic relief to brighten the mood, and even then it does little to help alleviate the severity of a specific scene. If you are expecting the usual humorous situations that MCU fans have grown accustomed to after all these years or the characters constantly cracking jokes at a convenient time, you are going to be sorely disappointed.This film never wavers on its downbeat tone, with frequent reminders that the original hero is dead and not coming back. Of course, this is entirely understandable considering it would be disrespectful to not take into account Chadwick Boseman's monumental contribution to the series and the film plays along like something crucial is missing without him. Bearing that in mind, the film is still enjoyable in other ways. It does contain a number of good action scenes with some creative fight choreography and a deeper exploration of Wakandan lore to keep the audience invested. These are easily the most entertaining aspects of the film, as they remind us that Wakanda is more than simply the location where the Black Panther character originated. Just don't expect to be smiling too much during these highlights.Out of the three main actors whom the film chooses to focus on, I think Letitia Wright really shone the most as Shuri. Though we have seen Shuri do many important things in previous MCU films, I think it is here where we finally get to see her come into her own. Gone is the confident, meme-quoting sister of King T'Challa and in her place is a mournful, vulnerable young woman who misses her brother and just can't see herself taking his place as leader. Regardless of this shift in personality, Shuri still retains her intelligent side, which is featured much more extensively in this film than we've ever seen before. It's quite impressive to see how well Wright plays into Shuri's insecurities, never once exaggerating her emotions to the point of caricature or melodrama. Instead, she is shown to be a relatable human being, coming to terms with the sudden curveball life has thrown her.Though I must admit, none of this would have worked as well for Wright without the help of Angela Bassett and Danai Gurira as Ramonda and Okoye, respectively. As previously mentioned, they are all dealing with grief in their own unique ways but soon learn that working together to overcome it as a team is the best strategy. These characters feel like a real family, sticking together through what needs to be done to protect Wakanda from anything that threatens their existence. Even with the King no longer around to assist them, these three still prove themselves a formidable force against any hardship they may face.Given the unexpected turn of events surrounding the death of its main star, this film works surprisingly well with its remaining cast members and a more interesting look at Wakanda's place in the MCU. It's hard to say for certain how things may have turned out had Chadwick Boseman lived to reprise his role here, but if I had to guess I would assume we'd have gotten a more optimistic sequel without that feeling of loss hovering over every scene. Personally, I think they made the right decision not to recast and with all of that said, I am nonetheless convinced that Boseman would be pleased to see his legacy honoured in the best way possible under these circumstances. I know I would be.I rate it 8/10."
5,Black Panther: Wakanda Forever,6," Overblown and Oversaturated Airplane Movie:At this point, Marvel is getting too saturated for its own good. The movie's beginning and the end is good, but the middle is too slow and crammed with corporate-mandated plot requirements, so much so that the writers didn't know what to do.I really feel that this is the product of unrealistic corporate deadlines, leading to incohesive and plot-hole ridden story, subpar CGI, and morally problematic characters that we are supposed to think are heroes. I don't think Marvel is really taking the time to quality check.To start, the villain is not really likeable or unlikeable. The villain just sort of exists. At least the first Black Panther movie had a villain that was likeable, carried by the performance of Michael B. Jordan. Another point of weakness is how Ironheart was crammed into the plot as required by Disney. As they tried to cram her in, plot points began to crack (which will not be mentioned here due to spoilers). The story is not cohesive. The third, and perhaps the biggest, point of weakness is the action scenes.Action scenes, you would think, would be the centerpieces of superhero movies, right? But Marvel's sweat-shop CGI studios seem to lack the motivation or at least the time to render quality products, not to mention how the choreography is sub-par as well. At the end, Black Panther 2's action scenes are forgettable.It is mildly entertaining enough to be an airplane or a steam-at-home movie, but this is by no means a great movie."
6,Black Panther: Wakanda Forever,," Bad editing ruined it; the stellar score and wardrobe couldn't save it:This film and its prequel both had exceptional visual design, particularly in the diverse wardrobe styles displayed, and throught-provoking instrumentation in the score. The score was particularly captivating this time around. But none of this could save the film from its pacing, clarity and consistency issues.Even if we forget the outright errors (where the audio didn't match the visuals), the film just had a lot of awkward silence, like the actors were expecting quick cuts and were just waiting for direction. There were hundreds of places I would have cut a second here, two seconds there, enough not only to bring some energy into the pacing, but also to buy more time to understand Namor's people. Little time is spent really getting to empathize with them. Even Namor's story lacked clarity and fleshing out.More than 90 minutes in, the story finally started to get interesting, with noteworthily well-done action sequences. But even then, it was painfully obvious that some sequences where done by entirely different teams, with completely inconsistent tonality. So it was hard to enjoy the good parts, with how different they were from the rest.I admit I had high hopes for the final film of Phase 4, but this just didn't deliver."
7,Black Panther: Wakanda Forever,8," A big challenge that Ryan Coogler overcame!:I want to start by saying I haven't been the biggest fan of this Phase 4 by Marvel that started with Black Widow in 2020, it's been hit & miss for me so I was nervous for the sequel to Black Panther. I'm happy to report that Black Panther: Wakanda Forever is a success. I think Ryan Coogler and his team hit a home run with Wakanda Forever by paying tribute to Chadwick Boseman and moving the story forward respectfully.I won't go into spoilers, but the movie starts with an emotional bang. Wakanda Forever builds on the great fondation that was established in the first Black Panther, a visual feast with breathtaking production design, fantastic costumes and impressive action sequences. The music from Ludwig Goransson is once again phenomenal, he creates a signature to this film that gives us the iconic sound of Wakanda while incorporing new themes for this sequel.Similar to the first film with Wakanda, there's a lot of world-building with the newly introduced Namor and the underwater world. This allows director Ryan Coogler to let his vision shine on the screen, it's spectacular to look at and the way they filmed the underwater sequences was truly astonishing. Ironically, most of superhero movies depend on their villains in order to succeed, they nailed it with Killmonger and what they did here is just as good, if not better.I don't think it's a perfect film, with a hefty runtime of 161 minutes, there are some moments that were dragging in the middle for me, but I think it was necessary for this film to be a bit longer than usual. Every character has their shining moments, Shuri is at the heart of this movie but Nakia, Okoye, M'Baku and Queen Ramonda all get their shining moments and a solid story arc that is rewarding by the end, so I don't really have an issue with the movie being this long.I have some other nitpicks that are spoiler-y, so I cannot really discuss them at the time. Everyone's motivation is clear and the main story is so engaging that I didn't really care for Marvel doing their usual ""laying the ground for the future"" stuff with certain characters (without getting into details). However, I can say that Namor was a terrific character, I absolutely love what they did with him storywise and visually. He absolutely slays during the action sequences, Tenoch Huerta is a great actor that fits the role perfectly, no surprise with the spot-on Marvel casting there.This is a movie to see on the big screen, without a doubt this is the best film the MCU has delivered in the Phase 4. The scale is epic but the film feels very intimate and personal because of what happened with Chadwick. The fact that they incorporated his passing into the story beautifully was so important & crucial. Ryan Coogler is probably the best director working for Marvel right now and I'm very excited to see what he does next after this big win."
8,Black Panther: Wakanda Forever,7," Not the Black Panther we were promised:The movie is fine overall but it's so very long.The story takes ages to go anywhere but the scenes move way too quickly into the next ones.Namor was a great villain with a really interesting change and served to be the highlight of the film but it wasn't quite enough to save it and keep me invested.It did feel at times like a beautiful goodbye to Chadwick Bozeman but it often seemed to forget that it's a movie too.It also never really answers why the FBI are after Riri Williams (Iron Heart) they just show up and it kind of felt like they just wanted more involvement for Martin Freeman and Julia Louis Dreyfus than any practical, story telling reasons.All-in-all, better than the Disney+ projects but not the film we needed to save the MCU."
9,Black Panther: Wakanda Forever,10," Extremely Emotional Movie About Loss  Legacy And Healing!:""Wakanda Forever"" is MCU's 30-th movie and is phenomenal! The most powerful project of Phase 4. I can not understate how masterful the score is from start to finish. There are no weak links in the cast, but I have to give a special shoutout to Angela Basset and Letitia Wright's Shuri. Letitia is quite the beating heart of this film. And Tenoch Huerta? They couldn't have found a better Namor.""Ryan Coogler's emotional movies is about loss, legacy and healing. The story is intimate, but vast with global power struggles and palace intrigue. Tenoch Huerta's Namor is a force, better than I hoped. So much can be told...The scope, the camera work, the acting, and the raw emotions on and off screen can be felt throughout! Fantastic sequel and a great movie. I knew it'd be emotional and it was. Expect your eyes to leak.Immensely powerful story of forging forward-shattering at times, but also beautifully cathartic and heartening, still cannot get over how well the film earns that title.If Chadwick could see this movie, he'll be proud as much as I am right now!"
